Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     23.09     0.00    50080     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::base() const
  0.00     23.09     0.00    49149     0.00     0.00  EdgeChange* std::__addressof<EdgeChange>(EdgeChange&)
  0.00     23.09     0.00    40004     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeChange const*, std::vector<EdgeChange, std::allocator<EdgeChange> > >::base() const
  0.00     23.09     0.00    26383     0.00     0.00  void __gnu_cxx::new_allocator<EdgeChange>::construct<EdgeChange, EdgeChange>(EdgeChange*, EdgeChange&&)
  0.00     23.09     0.00    26383     0.00     0.00  void std::allocator_traits<std::allocator<EdgeChange> >::construct<EdgeChange, EdgeChange>(std::allocator<EdgeChange>&, EdgeChange*, EdgeChange&&)
  0.00     23.09     0.00    26383     0.00     0.00  std::remove_reference<EdgeChange&>::type&& std::move<EdgeChange&>(EdgeChange&)
  0.00     23.09     0.00    25000     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00     23.09     0.00    20030     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeChange*, std::vector<EdgeChange, std::allocator<EdgeChange> > >::__normal_iterator(EdgeChange* const&)
  0.00     23.09     0.00    20002     0.00     0.00  bool __gnu_cxx::operator!=<EdgeChange const*, std::vector<EdgeChange, std::allocator<EdgeChange> > >(__gnu_cxx::__normal_iterator<EdgeChange const*, std::vector<EdgeChange, std::allocator<EdgeChange> > > const&, __gnu_cxx::__normal_iterator<EdgeChange const*, std::vector<EdgeChange, std::allocator<EdgeChange> > > const&)
  0.00     23.09     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeChange const*, std::vector<EdgeChange, std::allocator<EdgeChange> > >::operator++()
  0.00     23.09     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > >::__normal_iterator<Neighbor*>(__gnu_cxx::__normal_iterator<Neighbor*, __gnu_cxx::__enable_if<std::__are_same<Neighbor*, Neighbor*>::__value, std::vector<Neighbor, std::allocator<Neighbor> > >::__type> const&)
  0.00     23.09     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > >::difference_type __gnu_cxx::operator-<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > >(__gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > > const&, __gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > > const&)
  0.00     23.09     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::operator+(long) const
  0.00     23.09     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeChange const*, std::vector<EdgeChange, std::allocator<EdgeChange> > >::operator*() const
  0.00     23.09     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > >::base() const
  0.00     23.09     0.00    16383     0.00     0.00  void __gnu_cxx::new_allocator<EdgeChange>::destroy<EdgeChange>(EdgeChange*)
  0.00     23.09     0.00    16383     0.00     0.00  void std::allocator_traits<std::allocator<EdgeChange> >::destroy<EdgeChange>(std::allocator<EdgeChange>&, EdgeChange*)
  0.00     23.09     0.00    16383     0.00     0.00  void std::__relocate_object_a<EdgeChange, EdgeChange, std::allocator<EdgeChange> >(EdgeChange*, EdgeChange*, std::allocator<EdgeChange>&)
  0.00     23.09     0.00    10020     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::difference_type __gnu_cxx::operator-<Edge*, std::vector<Edge, std::allocator<Edge> > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&)
  0.00     23.09     0.00    10020     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::begin()
  0.00     23.09     0.00    10015     0.00     0.00  std::vector<EdgeChange, std::allocator<EdgeChange> >::end()
  0.00     23.09     0.00    10000     0.00     0.00  EdgeChange::EdgeChange(int, int, double, bool)
  0.00     23.09     0.00    10000     0.00     0.00  __gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > >::__normal_iterator<Edge*>(__gnu_cxx::__normal_iterator<Edge*, __gnu_cxx::__enable_if<std::__are_same<Edge*, Edge*>::__value, std::vector<Edge, std::allocator<Edge> > >::__type> const&)
  0.00     23.09     0.00    10000     0.00     0.00  bool __gnu_cxx::operator==<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > const&, __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > const&)
  0.00     23.09     0.00    10000     0.00     0.00  __gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > >::difference_type __gnu_cxx::operator-<Edge const*, std::vector<Edge, std::allocator<Edge> > >(__gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > > const&, __gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > > const&)
  0.00     23.09     0.00    10000     0.00     0.00  bool __gnu_cxx::operator!=<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > const&, __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > const&)
  0.00     23.09     0.00    10000     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeChange*, std::vector<EdgeChange, std::allocator<EdgeChange> > >::operator*() const
  0.00     23.09     0.00    10000     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeChange*, std::vector<EdgeChange, std::allocator<EdgeChange> > >::operator-(long) const
  0.00     23.09     0.00    10000     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator+(long) const
  0.00     23.09     0.00    10000     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::cbegin() const
  0.00     23.09     0.00    10000     0.00     0.00  EdgeChange& std::vector<EdgeChange, std::allocator<EdgeChange> >::emplace_back<EdgeChange>(EdgeChange&&)
  0.00     23.09     0.00    10000     0.00     0.00  std::vector<EdgeChange, std::allocator<EdgeChange> >::back()
  0.00     23.09     0.00    10000     0.00     0.00  std::vector<EdgeChange, std::allocator<EdgeChange> >::push_back(EdgeChange&&)
  0.00     23.09     0.00    10000     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::erase(__gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > >)
  0.00     23.09     0.00    10000     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::_M_erase(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >)
  0.00     23.09     0.00    10000     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > const&)
  0.00     23.09     0.00    10000     0.00     0.00  std::remove_reference<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}&>::type&& std::move<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}&>(Graph::removeEdge(int, int)::{lambda(Edge const&)#1}&)
  0.00     23.09     0.00    10000     0.00     0.00  std::remove_reference<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}&>::type&& std::move<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}&>(Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}&)
  0.00     23.09     0.00     5000     0.00     0.00  Graph::removeEdge(int, int)
  0.00     23.09     0.00     5000     0.00     0.00  __gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > >::__normal_iterator(Edge const* const&)
  0.00     23.09     0.00     5000     0.00     0.00  __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}>::_Iter_pred(Graph::removeEdge(int, int)::{lambda(Edge const&)#1})
  0.00     23.09     0.00     5000     0.00     0.00  __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}>::_Iter_pred(Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2})
  0.00     23.09     0.00     5000     0.00     0.00  __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}>::_Iter_pred(Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3})
  0.00     23.09     0.00     5000     0.00     0.00  __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}> __gnu_cxx::__ops::__pred_iter<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}>(Graph::removeEdge(int, int)::{lambda(Edge const&)#1})
  0.00     23.09     0.00     5000     0.00     0.00  __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}> __gnu_cxx::__ops::__pred_iter<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}>(Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2})
  0.00     23.09     0.00     5000     0.00     0.00  __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}> __gnu_cxx::__ops::__pred_iter<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}>(Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3})
  0.00     23.09     0.00     5000     0.00     0.00  bool __gnu_cxx::operator==<Edge*, std::vector<Edge, std::allocator<Edge> > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&)
  0.00     23.09     0.00     5000     0.00     0.00  SSSPTree::isTreeEdge(int, int) const
  0.00     23.09     0.00     5000     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::cbegin() const
  0.00     23.09     0.00     5000     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::erase(__gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > >)
  0.00     23.09     0.00     5000     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::_M_erase(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >)
  0.00     23.09     0.00     5000     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > std::__remove_if<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}> >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}>)
  0.00     23.09     0.00     5000     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > std::__remove_if<__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}> >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}>)
  0.00     23.09     0.00     5000     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > std::__remove_if<__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}> >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}>)
  0.00     23.09     0.00     5000     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&)
  0.00     23.09     0.00     5000     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > std::__find_if<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}> >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}>)
  0.00     23.09     0.00     5000     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > std::__find_if<__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}> >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}>)
  0.00     23.09     0.00     5000     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > std::__find_if<__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}> >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}>, std::random_access_iterator_tag)
  0.00     23.09     0.00     5000     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > std::__find_if<__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}> >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}>)
  0.00     23.09     0.00     5000     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > std::__find_if<__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}> >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}>, std::random_access_iterator_tag)
  0.00     23.09     0.00     5000     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > std::remove_if<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, Graph::removeEdge(int, int)::{lambda(Edge const&)#1}>(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, Graph::removeEdge(int, int)::{lambda(Edge const&)#1})
  0.00     23.09     0.00     5000     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > std::remove_if<__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}>(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2})
